epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps
1,1.446282,0.00046,0.0,0.00099902,60.6,0,898
2,1.020435,0.006643,0.0,0.0009961,52.91,0,1796
3,0.995057,0.023324,0.0,0.00099123,52.86,0,2694
4,0.985313,0.037113,0.0,0.00098445,52.93,0,3592
5,0.980876,0.085354,0.0,0.00097577,52.08,0,4490
6,0.976109,0.148118,0.0,0.00096524,51.92,0,5388
7,0.97155,0.080573,0.0,0.00095289,51.95,0,6286
8,0.965505,0.224666,0.233913,0.00093877,52.0,0,7184
9,0.959476,0.107433,0.143338,0.00092294,51.98,0,8082
10,0.954971,0.289818,0.369771,0.00090546,52.18,0,8980
11,0.951201,0.268918,0.317673,0.0008864,52.17,0,9878
12,0.948092,0.270713,0.304137,0.00086584,51.62,0,10776
13,0.945882,0.184072,0.20303,0.00084385,51.63,0,11674
14,0.943288,0.266274,0.286201,0.00082052,51.28,0,12572
15,0.942555,0.36935,0.396242,0.00079595,51.35,0,13470
16,0.940695,0.21873,0.231441,0.00077023,51.19,0,14368
17,0.939159,0.357697,0.377899,0.00074347,51.09,0,15266
18,0.938914,0.305597,0.318892,0.00071576,51.22,0,16164
19,0.937908,0.260214,0.273553,0.00068722,51.11,0,17062
20,0.937346,0.351176,0.364614,0.00065796,51.13,0,17960
21,0.937159,0.289849,0.302545,0.0006281,51.5,0,18858
22,0.936307,0.326046,0.335777,0.00059775,51.5,0,19756
23,0.935797,0.312939,0.323349,0.00056704,51.58,0,20654
24,0.935157,0.328908,0.338606,0.00053608,51.69,0,21552
25,0.934647,0.404869,0.416612,0.000505,51.15,0,22450
26,0.934336,0.37092,0.380981,0.00047392,51.42,0,23348
27,0.932898,0.379803,0.39156,0.00044296,51.62,0,24246
28,0.932738,0.393238,0.403494,0.00041225,51.08,0,25144
29,0.93255,0.417688,0.42869,0.0003819,51.52,0,26042
30,0.932448,0.379847,0.389398,0.00035204,51.21,0,26940
31,0.93184,0.432809,0.442916,0.00032278,50.6,0,27838
32,0.931714,0.371997,0.381972,0.00029424,50.88,0,28736
33,0.931006,0.421747,0.433087,0.00026653,52.05,0,29634
34,0.930497,0.396928,0.407386,0.00023977,51.17,0,30532
35,0.929938,0.422025,0.432975,0.00021405,50.58,0,31430
36,0.929686,0.407869,0.418017,0.00018948,50.76,0,32328
37,0.929458,0.437095,0.448745,0.00016615,50.41,0,33226
38,0.929104,0.391138,0.40187,0.00014416,50.62,0,34124
39,0.929007,0.408557,0.419818,0.0001236,50.9,0,35022
40,0.928464,0.403375,0.414115,0.00010454,51.01,0,35920
41,0.929068,0.380526,0.389378,8.706e-05,51.64,0,36818
42,0.928046,0.392769,0.402801,7.123e-05,50.97,0,37716
43,0.92834,0.394253,0.402693,5.711e-05,51.15,0,38614
44,0.928199,0.422459,0.431979,4.476e-05,50.97,0,39512
45,0.927963,0.4029,0.411645,3.423e-05,51.91,0,40410
46,0.927877,0.411114,0.421118,2.555e-05,55.4,0,41308
47,0.927746,0.40633,0.416428,1.877e-05,55.02,0,42206
48,0.927833,0.404023,0.413125,1.39e-05,54.49,0,43104
49,0.927343,0.410681,0.419795,1.098e-05,55.84,0,44002
50,0.927451,0.406388,0.414923,1e-05,55.11,0,44900
51,0.927406,0.410999,0.41997,1e-05,54.5,0,45798
52,0.927768,0.412533,0.421105,1e-05,53.48,0,46696
53,0.927768,0.415157,0.424659,1e-05,52.8,0,47594
54,0.927655,0.406832,0.415247,1e-05,52.77,0,48492
55,0.927538,0.419047,0.428037,1e-05,52.33,0,49390
